threshold,coverage,acc_kept,acc_lo,acc_hi
0.000000,1.000000,0.937500,0.904167,0.962500
0.026316,1.000000,0.937500,0.904167,0.962500
0.052632,1.000000,0.937500,0.904167,0.962500
0.078947,1.000000,0.937500,0.904167,0.962500
0.105263,1.000000,0.937500,0.904167,0.962500
0.131579,1.000000,0.937500,0.904167,0.962500
0.157895,1.000000,0.937500,0.904167,0.962500
0.184211,1.000000,0.937500,0.904167,0.962500
0.210526,1.000000,0.937500,0.904167,0.962500
0.236842,1.000000,0.937500,0.904167,0.962500
0.263158,1.000000,0.937500,0.904167,0.962500
0.289474,1.000000,0.937500,0.904167,0.962500
0.315789,1.000000,0.937500,0.904167,0.962500
0.342105,1.000000,0.937500,0.904167,0.962500
0.368421,1.000000,0.937500,0.904167,0.962500
0.394737,1.000000,0.937500,0.904167,0.962500
0.421053,1.000000,0.937500,0.904167,0.962500
0.447368,1.000000,0.937500,0.904167,0.962500
0.473684,1.000000,0.937500,0.904167,0.962500
0.500000,1.000000,0.937500,0.904167,0.962500
0.500000,1.000000,0.937500,0.904167,0.962500
0.509184,1.000000,0.937500,0.904167,0.962500
0.518367,1.000000,0.937500,0.904167,0.962500
0.527551,1.000000,0.937500,0.904167,0.962500
0.536735,1.000000,0.937500,0.904167,0.962500
0.545918,1.000000,0.937500,0.904167,0.962500
0.555102,1.000000,0.937500,0.904167,0.962500
0.564286,1.000000,0.937500,0.904167,0.962500
0.573469,1.000000,0.937500,0.904167,0.962500
0.582653,1.000000,0.937500,0.904167,0.962500
0.591837,1.000000,0.937500,0.904167,0.962500
0.601020,1.000000,0.937500,0.904167,0.962500
0.610204,1.000000,0.937500,0.904167,0.962500
0.619388,1.000000,0.937500,0.904167,0.962500
0.628571,1.000000,0.937500,0.904167,0.962500
0.637755,0.995833,0.937238,0.903766,0.966527
0.646939,0.995833,0.937238,0.903766,0.966527
0.656122,0.995833,0.937238,0.903766,0.966527
0.665306,0.995833,0.937238,0.903766,0.966527
0.674490,0.995833,0.937238,0.903766,0.966527
0.683673,0.995833,0.937238,0.903766,0.966527
0.692857,0.995833,0.937238,0.903766,0.966527
0.702041,0.995833,0.937238,0.903766,0.966527
0.711224,0.995833,0.937238,0.903766,0.966527
0.720408,0.995833,0.937238,0.903766,0.966527
0.729592,0.995833,0.937238,0.903766,0.966527
0.738776,0.995833,0.937238,0.903766,0.966527
0.747959,0.995833,0.937238,0.903766,0.966527
0.757143,0.991667,0.941176,0.907563,0.966387
0.766327,0.991667,0.941176,0.907563,0.966387
0.775510,0.991667,0.941176,0.907563,0.966387
0.784694,0.991667,0.941176,0.907563,0.966387
0.793878,0.987500,0.940928,0.911392,0.966245
0.803061,0.987500,0.940928,0.911392,0.966245
0.812245,0.987500,0.940928,0.911392,0.966245
0.821429,0.987500,0.940928,0.911392,0.966245
0.830612,0.987500,0.940928,0.911392,0.966245
0.839796,0.987500,0.940928,0.911392,0.966245
0.848980,0.987500,0.940928,0.911392,0.966245
0.858163,0.987500,0.940928,0.911392,0.966245
0.867347,0.987500,0.940928,0.911392,0.966245
0.876531,0.979167,0.940426,0.906383,0.970213
0.885714,0.975000,0.940171,0.905983,0.965812
0.894898,0.975000,0.940171,0.905983,0.965812
0.904082,0.958333,0.943478,0.913043,0.969674
0.913265,0.954167,0.943231,0.912664,0.973799
0.922449,0.954167,0.943231,0.912664,0.973799
0.931633,0.950000,0.947368,0.916667,0.973684
0.940816,0.941667,0.946903,0.915929,0.973451
0.950000,0.920833,0.959276,0.932127,0.981900
0.950000,0.920833,0.959276,0.932127,0.981900
0.951690,0.920833,0.959276,0.932127,0.981900
0.953379,0.920833,0.959276,0.932127,0.981900
0.955069,0.920833,0.959276,0.932127,0.981900
0.956759,0.916667,0.959091,0.931818,0.981818
0.958448,0.912500,0.958904,0.931507,0.981735
0.960138,0.908333,0.958716,0.931193,0.981651
0.961828,0.895833,0.962791,0.934884,0.986047
0.963517,0.891667,0.967290,0.939252,0.986098
0.965207,0.887500,0.967136,0.938967,0.986033
0.966897,0.875000,0.966667,0.938095,0.990476
0.968586,0.875000,0.966667,0.938095,0.990476
0.970276,0.866667,0.966346,0.942308,0.990385
0.971966,0.837500,0.965174,0.940299,0.990050
0.973655,0.820833,0.964467,0.934010,0.984772
0.975345,0.791667,0.968421,0.942105,0.989474
0.977034,0.741667,0.971910,0.943820,0.994382
0.978724,0.691667,0.969880,0.945783,0.987952
0.980414,0.587500,0.964539,0.929078,0.992908
0.982103,0.400000,0.958333,0.916667,0.989583
0.983793,0.183333,0.977273,0.931818,1.000000
0.985483,0.045833,0.909091,0.727273,1.000000
0.987172,0.037500,0.888889,0.888889,0.888889
0.988862,0.037500,0.888889,0.888889,0.888889
0.990552,0.037500,0.888889,0.888889,0.888889
0.992241,0.025000,1.000000,1.000000,1.000000
